order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,purchase_frequency,preferred_category,product_name,category,gender
ORD5000,CUST1000,39,PROD200,Canada,1/7/2021,2/21/2023,0,active,8/20/2024,78.21,5,37,Sports,Football,Sports,Female
ORD5001,CUST1001,61,PROD201,USA,10/19/2020,12/8/2021,0,active,7/17/2025,64.02,8,35,Sports,Refrigerator,Home,Female
ORD5002,CUST1002,26,PROD202,Pakistan,6/10/2023,9/4/2023,3,cancelled,3/12/2025,604.14,2,44,Electronics,Hoodie,Clothing,Female
ORD5003,CUST1003,54,PROD203,India,7/30/2023,2/20/2024,4,paused,9/19/2024,84.66,4,1,Sports,Conditioner,Beauty,Male
ORD5004,CUST1004,50,PROD204,India,12/9/2020,9/14/2024,0,active,8/8/2024,62.66,7,35,Sports,Smartwatch,Electronics,Male
ORD5005,CUST1005,46,PROD205,Pakistan,5/16/2023,8/13/2025,2,active,10/14/2024,221.61,8,16,Electronics,Hoodie,Clothing,Male
ORD5006,CUST1006,29,PROD206,Germany,4/10/2023,7/15/2025,1,active,3/5/2024,175.74,4,7,Clothing,Tablet,Electronics,Female
ORD5007,CUST1007,24,PROD207,UK,7/11/2022,12/31/2024,2,active,3/21/2025,9.56,5,34,Clothing,Jacket,Clothing,Female
ORD5008,CUST1008,53,PROD208,Pakistan,4/25/2021,12/26/2024,4,paused,12/14/2023,1525.8,1,32,Electronics,Nail Polish,Beauty,Female
ORD5009,CUST1009,38,PROD209,Germany,12/9/2021,11/29/2024,2,active,12/24/2021,337.24,4,6,Clothing,Camera,Electronics,Male
ORD5010,CUST1010,41,PROD210,UK,10/4/2020,8/2/2022,2,active,11/23/2023,203.05,6,38,Home,Dumbbells,Sports,Female
ORD5011,CUST1011,24,PROD211,Canada,2/12/2022,3/12/2025,1,active,5/30/2025,940.17,1,24,Beauty,Headphones,Electronics,Female
ORD5012,CUST1012,39,PROD212,Canada,12/20/2020,1/16/2023,2,active,8/7/2021,168.79,9,36,Beauty,Vacuum Cleaner,Home,Female
ORD5013,CUST1013,61,PROD213,USA,2/19/2021,12/9/2024,3,active,1/26/2024,236.77,8,5,Sports,Perfume,Beauty,Female
ORD5014,CUST1014,64,PROD214,UK,2/27/2021,4/24/2025,1,active,12/6/2023,130.32,6,20,Clothing,Cycling Helmet,Sports,Female
ORD5015,CUST1015,28,PROD215,UK,12/31/2021,11/15/2023,5,cancelled,11/30/2024,333.99,3,27,Home,Face Wash,Beauty,Female
ORD5016,CUST1016,34,PROD216,USA,7/6/2021,8/2/2025,1,active,6/19/2024,1875.08,1,31,Sports,Football,Sports,Female
ORD5017,CUST1017,22,PROD217,Pakistan,9/14/2021,8/4/2024,0,cancelled,1/27/2024,211.24,6,18,Electronics,Cricket Bat,Sports,Male
ORD5018,CUST1018,42,PROD218,USA,5/25/2023,1/9/2025,5,paused,8/13/2025,1702.39,1,14,Clothing,Sneakers,Clothing,Male
ORD5019,CUST1019,51,PROD219,India,9/14/2022,8/13/2025,0,paused,10/27/2024,199.58,8,41,Clothing,Refrigerator,Home,Female
ORD5020,CUST1020,64,PROD220,Canada,3/13/2022,1/23/2024,4,active,5/6/2022,242.03,6,2,Electronics,Cricket Bat,Sports,Female
ORD5021,CUST1021,52,PROD221,Germany,2/2/2021,6/20/2022,1,paused,8/20/2024,50.78,7,9,Home,Dress,Clothing,Male
